"expiry_dt","strike_pr","ce_volume","pe_volume","total_volume","total_open_interest"
"2019-08-01","9600.00","0","10","10","750"
"2019-08-01","9650.00","0","0","0","0"
"2019-08-01","9700.00","0","63","63","4725"
"2019-08-01","9750.00","0","0","0","450"
"2019-08-01","9800.00","0","16","16","1875"
"2019-08-01","9850.00","0","0","0","0"
"2019-08-01","9900.00","0","5","5","450"
"2019-08-01","9950.00","0","41","41","2775"
"2019-08-01","10000.00","19","1394","1413","184950"
"2019-08-01","10050.00","0","285","285","7500"
"2019-08-01","10100.00","0","1","1","1050"
"2019-08-01","10150.00","0","0","0","600"
"2019-08-01","10200.00","0","0","0","300"
"2019-08-01","10250.00","0","4","4","2025"
"2019-08-01","10300.00","3","1","4","3075"
"2019-08-01","10350.00","0","0","0","0"
"2019-08-01","10400.00","14","8","22","1350"
"2019-08-01","10450.00","0","0","0","0"
"2019-08-01","10500.00","113","3635","3748","280350"
"2019-08-01","10550.00","0","4","4","1050"
"2019-08-01","10600.00","129","2415","2544","63150"
"2019-08-01","10650.00","0","83","83","2475"
"2019-08-01","10700.00","193","7972","8165","340575"
"2019-08-01","10750.00","16","6461","6477","123225"
"2019-08-01","10800.00","6635","65558","72193","589500"
"2019-08-01","10850.00","15975","124099","140074","677625"
"2019-08-01","10900.00","256834","824171","1081005","2192025"
"2019-08-01","10950.00","512094","885986","1398080","1085625"
"2019-08-01","11000.00","1030257","978134","2008391","4271175"
"2019-08-01","11050.00","794126","387443","1181569","2478600"
"2019-08-01","11100.00","867220","244647","1111867","3549975"
"2019-08-01","11150.00","407199","47142","454341","1363575"
"2019-08-01","11200.00","289954","39971","329925","2597400"
"2019-08-01","11250.00","85691","4167","89858","1220100"
"2019-08-01","11300.00","79783","8385","88168","2193450"
"2019-08-01","11350.00","22287","424","22711","966150"
"2019-08-01","11400.00","22225","1698","23923","1233750"
"2019-08-01","11450.00","3824","204","4028","209775"
"2019-08-01","11500.00","15613","1670","17283","1085550"
"2019-08-01","11550.00","371","35","406","114075"
"2019-08-01","11600.00","3570","455","4025","348375"
"2019-08-01","11650.00","513","105","618","78375"
"2019-08-01","11700.00","2056","53","2109","264750"
"2019-08-01","11750.00","88","3","91","24000"
"2019-08-01","11800.00","1381","48","1429","239100"
"2019-08-01","11850.00","24","2","26","9675"
"2019-08-01","11900.00","828","63","891","290100"
"2019-08-01","11950.00","416","35","451","20400"
"2019-08-01","12000.00","2901","44","2945","516600"
"2019-08-01","12050.00","0","0","0","3450"
"2019-08-01","12100.00","27","0","27","9675"
"2019-08-01","12150.00","0","0","0","0"
"2019-08-01","12200.00","0","0","0","2550"
"2019-08-01","12250.00","0","0","0","4875"
"2019-08-01","12300.00","0","0","0","1125"
"2019-08-01","12350.00","0","0","0","0"
"2019-08-01","12400.00","0","0","0","75"
"2019-08-01","12450.00","0","0","0","0"
"2019-08-01","12500.00","72","8","80","7575"
"2019-08-01","12550.00","0","0","0","0"
"2019-08-01","12600.00","0","0","0","225"
"2019-08-01","12650.00","0","0","0","0"
"2019-08-01","12700.00","0","0","0","0"
"2019-08-01","12750.00","0","0","0","0"
"2019-08-01","12800.00","0","0","0","0"
"2019-08-01","12850.00","0","0","0","0"
"2019-08-01","12900.00","0","0","0","150"
"2019-08-01","12950.00","0","0","0","0"
"2019-08-01","13000.00","84","0","84","9600"
"2019-08-01","13050.00","0","0","0","7350"
"2019-08-01","13100.00","0","0","0","0"
"2019-08-01","13150.00","0","0","0","0"
"2019-08-01","13200.00","0","0","0","75"
"2019-08-01","13250.00","0","0","0","0"
"2019-08-01","13300.00","0","0","0","75"
"2019-08-01","13350.00","0","0","0","1350"
"2019-08-01","13400.00","0","0","0","0"
"2019-08-01","13450.00","0","0","0","300"
"2019-08-01","13500.00","0","0","0","4350"
"2019-08-01","13550.00","1803","0","1803","150"
"2019-08-01","13600.00","0","0","0","0"
"2019-08-01","14600.00","0","0","0","0"
"2019-08-01","14700.00","0","0","0","0"
"2019-08-01","14800.00","0","0","0","0"
"2019-08-01","14900.00","0","0","0","0"
"2019-08-01","15000.00","0","0","0","0"
"2019-08-01","15100.00","0","0","0","0"
"2019-08-01","15200.00","0","0","0","0"
"2019-08-01","15300.00","0","0","0","0"
"2019-08-01","15400.00","0","0","0","0"
"2019-08-01","15500.00","1","0","1","50"
"2019-08-01","15600.00","0","0","0","0"
"2019-08-01","15700.00","0","0","0","0"
"2019-08-01","15800.00","0","0","0","0"
"2019-08-01","15900.00","0","0","0","0"
"2019-08-01","16000.00","0","0","0","0"
"2019-08-01","16100.00","0","0","0","0"
"2019-08-01","16200.00","0","0","0","0"
"2019-08-01","16300.00","0","0","0","0"
"2019-08-01","16400.00","0","0","0","0"
"2019-08-01","16500.00","0","0","0","0"
"2019-08-01","16600.00","0","0","0","0"
"2019-08-01","16700.00","0","0","0","0"
"2019-08-01","16800.00","0","0","0","0"
"2019-08-01","16900.00","0","0","0","0"
"2019-08-01","17000.00","0","0","0","0"
"2019-08-01","27200.00","4","385","389","4040"
"2019-08-01","27300.00","0","118","118","40"
"2019-08-01","27400.00","8","3071","3079","30780"
"2019-08-01","27500.00","56","9316","9372","111920"
"2019-08-01","27600.00","6","9502","9508","21880"
"2019-08-01","27700.00","12","30557","30569","47900"
"2019-08-01","27800.00","0","70643","70643","84580"
"2019-08-01","27900.00","585","182476","183061","271280"
"2019-08-01","28000.00","56017","676900","732917","795540"
"2019-08-01","28100.00","236040","928776","1164816","438100"
"2019-08-01","28200.00","686710","1589036","2275746","422860"
"2019-08-01","28300.00","1224821","2293519","3518340","453320"
"2019-08-01","28400.00","1566672","2368057","3934729","883220"
"2019-08-01","28500.00","1698274","2013127","3711401","995420"
"2019-08-01","28600.00","1656596","1092808","2749404","891760"
"2019-08-01","28700.00","1786472","737113","2523585","869480"
"2019-08-01","28800.00","1789480","331539","2121019","812080"
"2019-08-01","28900.00","1469684","103721","1573405","569260"
"2019-08-01","29000.00","1627778","70107","1697885","1184220"
